study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501252	SRS2455940	SRX3121256	SRR5963345	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963345	N4_208_040G1
PRJNA396794	SAMN07501253	SRS2455941	SRX3121257	SRR5963346	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963346	N4_208_046G1
PRJNA396794	SAMN07501254	SRS2455942	SRX3121258	SRR5963347	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963347	N4_210_008G1
PRJNA396794	SAMN07501255	SRS2455943	SRX3121259	SRR5963348	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963348	N4_210_013G1
PRJNA396794	SAMN07501256	SRS2455945	SRX3121260	SRR5963349	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963349	N4_211_008G1
PRJNA396794	SAMN07501257	SRS2455944	SRX3121261	SRR5963350	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963350	N4_211_010G1
PRJNA396794	SAMN07501258	SRS2455946	SRX3121262	SRR5963351	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963351	N4_211_016G1
PRJNA396794	SAMN07501259	SRS2455947	SRX3121263	SRR5963352	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963352	N4_212_008G1
PRJNA396794	SAMN07501260	SRS2455948	SRX3121264	SRR5963353	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963353	N4_212_010G1
PRJNA396794	SAMN07501261	SRS2455949	SRX3121265	SRR5963354	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963354	N4_212_012G1
PRJNA396794	SAMN07501262	SRS2455951	SRX3121266	SRR5963355	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963355	N4_212_014G1
PRJNA396794	SAMN07501263	SRS2455950	SRX3121267	SRR5963356	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963356	N4_212_018G1
PRJNA396794	SAMN07501264	SRS2455952	SRX3121268	SRR5963357	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963357	N4_212_020G1
PRJNA396794	SAMN07501265	SRS2455953	SRX3121269	SRR5963358	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963358	N4_213_005G1
PRJNA396794	SAMN07501266	SRS2455954	SRX3121270	SRR5963359	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963359	N4_213_006G1
